"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.479640630E-1,-1.037168205E-1,-4.647624120E-2,9.708793640E0,9.709458850E0
9.529265630E-1,-1.107366160E-1,-1.289038174E-2,9.693969727E0,9.694610762E0
9.578890630E-1,-4.367981851E-2,-4.530787095E-2,9.728829384E0,9.729032938E0
9.628531250E-1,-1.921107434E-2,-2.441127971E-2,9.786768913E0,9.786818213E0
9.678156250E-1,-2.331952564E-2,-5.125506967E-2,9.748203278E0,9.748365916E0
9.727781250E-1,-6.474879384E-2,-3.680367023E-2,9.727133751E0,9.727418873E0
9.777421880E-1,-9.635225683E-2,-3.313574940E-2,9.722230911E0,9.722764814E0
9.827046880E-1,-3.784754127E-2,-3.810611367E-2,9.696287155E0,9.696435897E0
9.876687500E-1,-4.285620898E-2,-1.725740544E-2,9.816255569E0,9.816364290E0
9.926312500E-1,1.199973840E-2,-9.290460497E-2,9.757195473E0,9.757645144E0
9.975953130E-1,-2.930502873E-3,-8.732132614E-2,9.758392334E0,9.758783456E0
1.002557813E0,-8.905472606E-2,-4.068227485E-2,9.748959541E0,9.749451160E0
1.007520313E0,-8.386410028E-2,-6.625235081E-2,9.641565323E0,9.642157665E0
1.012484375E0,-6.240247190E-2,-6.341761351E-2,9.726990700E0,9.727397593E0
1.017446875E0,-3.442861885E-2,-4.012681916E-2,9.779691696E0,9.779834618E0
1.022410938E0,-4.975150898E-2,-5.075707566E-3,9.781300545E0,9.781428389E0
1.027373438E0,-5.911763012E-2,-4.712746665E-2,9.750309944E0,9.750603053E0
1.032337500E0,-8.796297014E-2,-7.611646503E-2,9.708497047E0,9.709193897E0
1.037300000E0,-9.532754123E-2,-2.389413305E-2,9.730313301E0,9.730809586E0
1.042262500E0,-5.350561813E-2,-2.191173285E-2,9.753757477E0,9.753928844E0
1.047226563E0,-2.646071650E-2,-3.406470269E-2,9.782315254E0,9.782410353E0
1.052189063E0,-4.955997318E-2,-2.038902044E-2,9.762290001E0,9.762437091E0
1.057153125E0,-5.075707659E-2,-7.560888678E-2,9.739574432E0,9.740000160E0
1.062115625E0,-7.320510596E-2,-8.588480204E-2,9.731701851E0,9.732356143E0
1.067079688E0,-4.729985073E-2,-7.578127086E-2,9.722939491E0,9.723349856E0
1.072042188E0,-1.003649365E-2,-6.237374246E-2,9.697867393E0,9.698073169E0
1.077004688E0,-3.468719497E-2,-2.604891360E-2,9.806545258E0,9.806641201E0
1.081968750E0,-6.442318112E-2,-2.448789403E-2,9.790225983E0,9.790468569E0
1.086931250E0,-9.871772677E-2,-1.082179137E-2,9.690292358E0,9.690801220E0
1.091895313E0,-7.211335748E-2,-3.204399347E-2,9.731692314E0,9.732012251E0
1.096857813E0,-5.876328796E-2,-4.532702640E-2,9.718696594E0,9.718979944E0
1.101821875E0,-1.601242088E-2,-4.776911065E-2,9.730907440E0,9.731037863E0
1.106784375E0,-4.492479935E-2,-1.612734236E-2,9.774548531E0,9.774665074E0
1.111746875E0,-6.073610857E-2,-3.005201928E-2,9.747063637E0,9.747299192E0
1.116710938E0,-6.121494994E-2,-6.386772543E-2,9.723762512E0,9.724164938E0
1.121673438E0,-6.296750903E-2,-4.188895598E-2,9.724836349E0,9.725130416E0
1.126637500E0,-5.523902178E-2,9.030928835E-3,9.817481041E0,9.817640597E0
1.131600000E0,-6.548620760E-2,-2.408566885E-2,9.766868591E0,9.767117827E0
1.136564063E0,-5.328535289E-2,-3.662170842E-2,9.738147736E0,9.738362378E0
1.141526563E0,-4.149630293E-2,-2.265872620E-2,9.732812881E0,9.732927717E0
1.146489063E0,-4.639005288E-2,-2.286941558E-2,9.768812180E0,9.768949096E0
1.151453125E0,-5.322789401E-2,-2.270660922E-2,9.772757530E0,9.772928862E0
1.156415625E0,-6.704722345E-2,-2.708321065E-2,9.684727669E0,9.684997617E0
1.161379688E0,-6.694187969E-2,-1.518881507E-2,9.746631622E0,9.746873340E0
1.166342188E0,-4.365108535E-2,-1.043871976E-3,9.783588409E0,9.783685843E0
1.171304688E0,-6.172252074E-2,-3.962882608E-2,9.757041931E0,9.757317631E0
1.176268750E0,-3.282929212E-2,-3.519476205E-2,9.743644714E0,9.743763583E0
1.181231250E0,-3.187161312E-2,-5.775772035E-2,9.722172737E0,9.722396540E0
1.186195313E0,-4.749138653E-2,-3.175669163E-2,9.723954201E0,9.724122028E0
1.191157813E0,-3.325067088E-2,-4.554729536E-2,9.784182549E0,9.784345063E0
1.196121875E0,-4.641878232E-2,-3.484999761E-2,9.680102348E0,9.680276375E0
1.201084375E0,-9.143935144E-2,-1.129105594E-2,9.716217041E0,9.716653860E0
1.206048438E0,-5.015373603E-2,-6.143521518E-2,9.773188591E0,9.773510368E0
1.211010938E0,-4.181233793E-2,-4.802768677E-2,9.726875305E0,9.727083742E0
1.215973438E0,-2.703532577E-2,-8.816408366E-2,9.707558632E0,9.707996622E0
1.220937500E0,-1.937388070E-2,-3.790500388E-2,9.752282143E0,9.752375051E0
1.225900000E0,-5.718311295E-2,3.830722766E-3,9.779203415E0,9.779371351E0
1.230864063E0,-5.972096696E-2,-3.491703793E-2,9.707328796E0,9.707575297E0
1.235826563E0,-6.836882234E-2,-3.460100293E-2,9.686595917E0,9.686898987E0
1.240790625E0,-5.953900889E-2,-4.759673029E-2,9.713304520E0,9.713603607E0
1.245753125E0,-5.152321979E-2,-2.476562373E-2,9.762701988E0,9.762869357E0
1.250715625E0,-5.561251938E-2,-4.034708813E-2,9.690397263E0,9.690640833E0
1.255678125E0,-6.943184882E-2,-3.676536307E-2,9.727364540E0,9.727681809E0
1.260642188E0,-5.871539935E-2,-1.193270087E-2,9.715680122E0,9.715864868E0
1.265604688E0,-6.277596951E-2,-7.368395478E-2,9.760853767E0,9.761333742E0
1.270568750E0,-5.325662345E-2,-3.427539021E-2,9.768304825E0,9.768510133E0
1.275531250E0,-2.453578077E-2,-2.022621594E-2,9.705164909E0,9.705217000E0
1.280495313E0,-5.743211135E-2,-3.750277683E-2,9.775391579E0,9.775632226E0
1.285457813E0,-6.802405417E-2,-4.979939666E-3,9.759159088E0,9.759397429E0
1.290421875E0,-6.830178946E-2,-2.170104347E-2,9.795110703E0,9.795372874E0
1.295384375E0,-5.321831629E-2,-7.034164667E-2,9.726856232E0,9.727256154E0
1.300346875E0,-6.279512495E-2,-4.111323133E-2,9.694830894E0,9.695121433E0
1.305310938E0,-4.899494350E-2,-1.704671606E-2,9.751535416E0,9.751673398E0
1.310273438E0,-5.758533999E-2,-1.872265898E-2,9.726665497E0,9.726853977E0
1.315235938E0,-6.154056266E-2,-3.867114708E-2,9.677976608E0,9.678249528E0
1.320200000E0,-3.084689565E-2,-4.868848249E-2,9.773112297E0,9.773282257E0
1.325164063E0,-2.916137688E-2,-6.427952647E-2,9.760931015E0,9.761186225E0
1.330126563E0,-3.471592441E-2,-4.794149473E-2,9.727880478E0,9.728060556E0
1.335089063E0,-7.077260315E-2,-5.382165313E-3,9.759886742E0,9.760144822E0
1.340053125E0,-4.068227485E-2,-2.988921292E-2,9.764800072E0,9.764930561E0
1.345015625E0,-3.428496793E-2,-5.549759790E-2,9.724874496E0,9.725093286E0
1.349979688E0,-7.111737132E-2,-4.413950443E-2,9.745224953E0,9.745584403E0
1.354942188E0,-4.466622695E-2,-2.320460230E-2,9.750683784E0,9.750813699E0
1.359904688E0,-3.968628868E-2,-3.306871280E-2,9.731576920E0,9.731714026E0
1.364868750E0,-3.930321336E-2,-8.418013342E-3,9.737898827E0,9.737981781E0
1.369831250E0,-6.509356201E-2,-1.904826984E-2,9.709636688E0,9.709873564E0
1.374795313E0,-8.757031709E-2,-2.567541972E-2,9.827154160E0,9.827577863E0
1.379757813E0,-4.464707151E-2,7.086837431E-4,9.729614258E0,9.729716721E0
1.384720313E0,-4.608359560E-2,-6.436571479E-2,9.750041962E0,9.750363321E0
1.389684375E0,-7.045656443E-2,-4.574840516E-2,9.770315170E0,9.770676311E0
1.394646875E0,-2.180638909E-2,-2.620214224E-2,9.746095657E0,9.746155274E0
1.399609375E0,-5.954858288E-2,-4.136222973E-2,9.739382744E0,9.739652617E0
1.404573438E0,-3.027228639E-2,-3.172796220E-2,9.740341187E0,9.740439903E0
1.409537500E0,-2.324290946E-2,-6.469132751E-2,9.737485886E0,9.737728512E0
1.414500000E0,-4.780741781E-2,-4.762545973E-2,9.718448639E0,9.718682919E0
1.419462500E0,-3.725377470E-2,-6.086060777E-2,9.728962898E0,9.729224580E0
1.424426563E0,-4.544194788E-2,-5.059427023E-2,9.765421867E0,9.765658657E0
1.429389063E0,-4.971320182E-2,9.404424578E-3,9.794497490E0,9.794628167E0
1.434353125E0,-8.889192343E-2,-7.393294945E-3,9.710345268E0,9.710754948E0
1.439315625E0,-2.663310058E-2,-6.870400906E-2,9.754369736E0,9.754648046E0
1.444278125E0,-6.429868191E-2,-4.451299831E-2,9.747838974E0,9.748152666E0
1.449242188E0,-8.395028859E-2,-3.566402942E-2,9.791154861E0,9.791579704E0
1.454204688E0,-1.560061797E-2,-2.978386916E-2,9.746929169E0,9.746987159E0
1.459168750E0,-3.887225688E-2,-5.770983920E-2,9.730237007E0,9.730485789E0
1.464131250E0,-5.906016752E-2,-3.604710102E-2,9.826043129E0,9.826286739E0
1.469095313E0,-3.914998472E-2,-2.948698774E-2,9.728368759E0,9.728492222E0
1.474057813E0,-6.309200078E-2,-3.882437572E-2,9.734029770E0,9.734311660E0
1.479021875E0,-5.514325202E-2,-1.882800274E-2,9.776377678E0,9.776551323E0
1.483984375E0,-2.731305361E-2,-4.920563474E-2,9.749898911E0,9.750061331E0
1.488946875E0,-4.889917374E-2,-6.176082790E-2,9.683330536E0,9.683650954E0
1.493910938E0,-3.852749243E-2,-9.025183320E-2,9.639371872E0,9.639871360E0
1.498873438E0,-3.169922903E-2,-2.141373977E-2,9.760576248E0,9.760651212E0
1.503835938E0,-7.311891764E-2,-5.357265845E-2,9.728157997E0,9.728580288E0
1.508800000E0,-5.798756331E-2,-3.287717700E-2,9.708689690E0,9.708918527E0
1.513762500E0,-3.998316824E-2,-1.282334421E-2,9.764158249E0,9.764248532E0
1.518726563E0,-6.456683576E-2,-5.599559098E-2,9.733876228E0,9.734251425E0
1.523689063E0,-3.700478002E-2,-2.037944458E-2,9.755242348E0,9.755333820E0
