"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.948421870E-1,1.023281813E-1,-2.274108529E-1,9.794823647E0,9.797997603E0
6.998062500E-1,1.245655268E-1,-2.081902027E-1,9.818439484E0,9.821436434E0
7.047687500E-1,1.179383770E-1,-1.763568968E-1,9.759753227E0,9.762058916E0
7.097312500E-1,1.251880229E-1,-1.989198625E-1,9.798902512E0,9.801720848E0
7.146953120E-1,1.153143346E-1,-1.686763018E-1,9.840772629E0,9.842893631E0
7.196593750E-1,1.059865206E-1,-1.878873706E-1,9.774299622E0,9.776679799E0
7.246218750E-1,1.323418915E-1,-1.878586411E-1,9.802484512E0,9.805177605E0
7.295843750E-1,1.458835006E-1,-1.666364372E-1,9.816743851E0,9.819241800E0
7.345484370E-1,1.098938584E-1,-2.234556228E-1,9.767442703E0,9.770616461E0
7.395109370E-1,1.399362981E-1,-2.112547755E-1,9.786557198E0,9.789837206E0
7.444734370E-1,1.123742536E-1,-1.973588467E-1,9.820593834E0,9.823219520E0
7.494375000E-1,9.551907331E-2,-1.805228144E-1,9.804811478E0,9.806938385E0
7.544015620E-1,1.277162880E-1,-2.190694511E-1,9.810681343E0,9.813957983E0
7.593640620E-1,1.197388172E-1,-2.358959019E-1,9.793386459E0,9.796958845E0
7.643265620E-1,1.322939992E-1,-2.207166553E-1,9.794056892E0,9.797436805E0
7.692906250E-1,1.353011280E-1,-2.197494060E-1,9.836022377E0,9.839407116E0
7.742531250E-1,1.287218630E-1,-2.183799297E-1,9.801344872E0,9.804622400E0
7.792171870E-1,1.338263005E-1,-2.916712463E-1,9.762395859E0,9.767668836E0
7.841796870E-1,1.107557714E-1,-2.008256316E-1,9.871216774E0,9.873880614E0
7.891421870E-1,1.371398717E-1,-1.650754213E-1,9.780428886E0,9.782783164E0
7.941062500E-1,1.315470189E-1,-1.779370755E-1,9.850846291E0,9.853331359E0
7.990687500E-1,1.273906827E-1,-2.061982304E-1,9.836586952E0,9.839572601E0
8.040312500E-1,1.731007844E-1,-2.395063639E-1,9.762663841E0,9.767135325E0
8.089953120E-1,1.291432381E-1,-1.966788769E-1,9.815757751E0,9.818577330E0
8.139578120E-1,1.080072224E-1,-1.852920502E-1,9.753335953E0,9.755693769E0
8.189218750E-1,1.286548227E-1,-1.771230400E-1,9.816628456E0,9.819069145E0
8.238843750E-1,1.529990733E-1,-2.280716598E-1,9.771791458E0,9.775650040E0
8.288484370E-1,1.383657008E-1,-2.225458324E-1,9.795943260E0,9.799447743E0
8.338109370E-1,1.390935332E-1,-2.353308648E-1,9.779318810E0,9.783138760E0
8.387734370E-1,1.257817894E-1,-1.786744893E-1,9.804955482E0,9.807389951E0
8.437375000E-1,1.467262506E-1,-2.056236118E-1,9.819070816E0,9.822319551E0
8.487000000E-1,1.113591045E-1,-2.017162740E-1,9.795377731E0,9.798087324E0
8.536640620E-1,1.409227103E-1,-2.196249068E-1,9.826502800E0,9.829967019E0
8.586265620E-1,1.859720200E-1,-2.227278054E-1,9.821484566E0,9.825769809E0
8.635906250E-1,1.085435227E-1,-2.139458656E-1,9.840245247E0,9.843169258E0
8.685531250E-1,1.091181338E-1,-2.207549810E-1,9.789584160E0,9.792680815E0
8.735156250E-1,1.447821707E-1,-2.282153070E-1,9.797015190E0,9.800742357E0
8.784796870E-1,1.404917538E-1,-2.521764934E-1,9.823103905E0,9.827344567E0
