"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.479640630E-1	1.383848581E-2	-1.924555004E-1	9.881224632E0	9.883108360E0
9.529281250E-1	1.686475798E-2	-1.864317060E-1	9.838511467E0	9.840292124E0
9.578906250E-1	4.213795066E-2	-1.380017847E-1	9.748432159E0	9.749499970E0
9.628546880E-1	-7.192181889E-3	-7.572381198E-2	9.871417999E0	9.871711054E0
9.678171880E-1	-2.415270545E-2	-7.305187732E-2	9.805759430E0	9.806061285E0
9.727796880E-1	-5.985504016E-2	-3.476380929E-2	9.856689453E0	9.856932491E0
9.777437500E-1	-5.128380284E-2	-3.471592441E-2	9.846920967E0	9.847115707E0
9.827062500E-1	-3.668874875E-2	-5.812164024E-2	9.788645744E0	9.788887051E0
9.876703130E-1	-5.650315806E-2	-1.660618186E-2	9.865719795E0	9.865895573E0
9.926328130E-1	-3.900633380E-2	-4.457045719E-2	9.854803085E0	9.854981069E0
9.975953130E-1	-7.967903279E-3	-9.934978932E-2	9.829279900E0	9.829785207E0
1.002559375E0	-1.723825117E-4	-9.507853538E-2	9.863947868E0	9.864406090E0
1.007521875E0	2.351106144E-2	-1.514955163E-1	9.868919373E0	9.870110093E0
1.012485938E0	3.698562458E-2	-1.480957270E-1	9.811945915E0	9.813133186E0
1.017448438E0	-9.567230009E-3	-1.443607807E-1	1.002396679E1	1.002501081E1
1.022412500E0	-2.655648626E-2	-7.079175860E-2	9.761783600E0	9.762076407E0
1.027375000E0	-4.949294031E-2	-5.988377333E-2	9.878054619E0	9.878360120E0
1.032337500E0	-4.231990874E-2	-4.073015973E-2	9.870718956E0	9.870893710E0
1.037301563E0	-5.213613436E-2	-1.947922446E-2	9.825421333E0	9.825578965E0
1.042265625E0	-5.514325202E-2	-1.379251778E-1	9.920040131E0	9.921152167E0
1.047228125E0	3.427539021E-2	-2.287324518E-1	9.825401306E0	9.828123125E0
1.052190625E0	5.411853269E-2	-2.496481985E-1	9.949804306E0	9.953082878E0
1.057153125E0	3.872860596E-2	-1.739435494E-1	9.774702072E0	9.776326348E0
1.062117188E0	-4.548983183E-3	-1.110909623E-3	9.961506844E0	9.961507944E0
1.067079688E0	-6.444232911E-2	-9.844956920E-3	9.937699318E0	9.937913135E0
1.072043750E0	3.086604923E-2	-2.962298095E-1	9.858441353E0	9.862939254E0
1.077006250E0	7.164409012E-2	-1.866711080E-1	9.983657837E0	9.985659857E0
1.081968750E0	2.088701539E-2	3.424666077E-2	9.695328712E0	9.695411695E0
1.086932813E0	-8.630618453E-2	1.114261448E-1	9.857369423E0	9.858376970E0
1.091895313E0	-9.236830473E-2	-1.289995909E-1	9.818783760E0	9.820065546E0
1.096859375E0	2.703532577E-2	-2.760227323E-1	9.916697502E0	9.920575024E0
1.101821875E0	2.149993181E-2	-2.363364398E-1	1.004256535E1	1.004536888E1
1.106785938E0	8.952398598E-2	-1.035444364E-1	9.768601418E0	9.769560361E0
1.111748438E0	1.128147915E-2	6.536170840E-2	9.851517677E0	9.851740961E0
1.116712500E0	-7.035122067E-2	-5.716396123E-2	9.753220558E0	9.753641795E0
1.121675000E0	-4.903324880E-3	-1.703043580E-1	9.750864983E0	9.752353333E0
1.126639063E0	1.654872112E-2	-9.741527587E-2	9.912023544E0	9.912516045E0
1.131601563E0	-4.045243189E-2	6.484455615E-2	9.697781563E0	9.698082721E0
1.136564063E0	-1.003266275E-1	-1.214339025E-2	9.914944649E0	9.915459661E0
1.141526563E0	5.583278369E-3	-2.200845927E-1	9.973813057E0	9.976242544E0
1.146490625E0	7.000645250E-2	-2.691082656E-1	9.743328094E0	9.747295139E0
1.151453125E0	4.340208694E-2	-1.397351772E-1	9.964600563E0	9.965674791E0
1.156417188E0	2.367386594E-2	-4.039496928E-2	9.807837486E0	9.807949243E0
1.161379688E0	-6.510313600E-2	4.823837802E-2	9.823207855E0	9.823542025E0
1.166343750E0	-9.394846857E-2	-7.785943896E-2	9.800664902E0	9.801424433E0
1.171306250E0	-1.845450513E-2	-1.563605219E-1	9.915883064E0	9.917132959E0
1.176268750E0	-1.539950538E-2	-8.484093845E-2	9.966716766E0	9.967089757E0
1.181232813E0	-2.202665433E-2	-5.322789401E-2	9.767959595E0	9.768129454E0
1.186195313E0	-3.388274461E-2	-1.283292077E-3	9.977366447E0	9.977424062E0
1.191159375E0	-6.292919815E-2	-8.192957938E-2	9.844659805E0	9.845201838E0
1.196121875E0	-1.491108816E-2	-9.797073156E-2	9.981590271E0	9.982082195E0
1.201085938E0	-1.815762557E-2	-1.577587426E-1	9.845646858E0	9.846927418E0
1.206048438E0	1.621353254E-2	-1.729858518E-1	9.789641380E0	9.791183041E0
1.211012500E0	3.415089473E-2	-1.080646887E-1	9.943551064E0	9.944196901E0
1.215975000E0	3.085647151E-2	-1.329356581E-1	9.732812881E0	9.733769599E0
1.220937500E0	-4.807556979E-3	-3.504153341E-2	9.964256287E0	9.964319062E0
1.225901563E0	-6.876147352E-3	-7.060979307E-2	9.884575844E0	9.884830430E0
1.230864063E0	9.586383589E-3	-6.851247698E-2	9.846536636E0	9.846779656E0
1.235828125E0	-5.305550992E-3	-1.317481399E-1	9.980143547E0	9.981014525E0
1.240790625E0	1.472912915E-2	-1.684560440E-2	9.791528702E0	9.791554271E0
1.245753125E0	-2.842396125E-2	-1.463336125E-2	9.933590889E0	9.933642333E0
1.250717188E0	-3.530010954E-2	-1.098076627E-1	9.787276268E0	9.787955893E0
1.255679688E0	2.101151459E-2	-1.358278543E-1	9.771167755E0	9.772134362E0
1.260643750E0	3.680367023E-2	-1.687624902E-1	9.894143105E0	9.895650714E0
1.265606250E0	-1.154962927E-2	-7.522581518E-2	9.853998184E0	9.854292087E0
1.270570313E0	1.108036563E-2	-9.042420983E-2	9.906373024E0	9.906791903E0
1.275532813E0	2.112643607E-2	-9.563399851E-2	9.782889366E0	9.783379607E0
1.280495313E0	-4.187937453E-2	-4.485776275E-2	9.827690125E0	9.827881729E0
1.285459375E0	-4.396712035E-2	-6.937438995E-2	9.852427483E0	9.852769824E0
1.290421875E0	-2.110728249E-2	-8.435251564E-2	9.826867104E0	9.827251800E0
1.295385938E0	-3.247495368E-2	-6.636726856E-2	9.861563683E0	9.861840472E0
1.300348438E0	-1.940261014E-2	-7.394252717E-2	9.898386955E0	9.898682148E0
1.305312500E0	-1.254561730E-2	-7.655698806E-2	9.827336311E0	9.827642512E0
1.310275000E0	-4.123773053E-2	-9.788454324E-2	9.850579262E0	9.851151898E0
1.315237500E0	-4.234864190E-2	-4.524083808E-2	9.851671219E0	9.851866115E0
1.320201563E0	-5.372588523E-3	-6.697060913E-2	9.923056602E0	9.923284046E0
1.325164063E0	-7.661445125E-5	-7.984183729E-2	9.833685875E0	9.834009997E0
1.330128125E0	-6.311115809E-3	-9.958921373E-2	9.811649323E0	9.812156759E0
1.335090625E0	-1.421198063E-2	-7.790732384E-2	9.907350540E0	9.907667044E0
1.340053125E0	-1.704671653E-3	-8.409394324E-2	9.816130638E0	9.816490992E0
1.345017188E0	-2.627875656E-2	-8.142201602E-2	9.831645966E0	9.832018232E0
1.349979688E0	-7.220912259E-3	-1.068675816E-1	9.874846458E0	9.875427353E0
1.354943750E0	-3.261860460E-2	-1.019929945E-1	9.905071259E0	9.905650064E0
1.359906250E0	-2.353979088E-2	-8.877699822E-2	9.862502098E0	9.862929743E0
1.364870313E0	-5.094861146E-3	-1.181394905E-1	9.823294640E0	9.824006335E0
1.369832813E0	-4.914817587E-2	-4.864060134E-2	9.838837624E0	9.839080609E0
1.374795313E0	-1.072602347E-2	-8.130709082E-2	9.913882256E0	9.914221466E0
1.379759375E0	4.070142750E-3	-4.534617811E-2	9.932154655E0	9.932259005E0
1.384721875E0	-7.402871735E-3	-2.283206433E-1	9.873372078E0	9.876014445E0
1.389685938E0	5.884948000E-2	-5.664681271E-2	9.727766037E0	9.728108973E0
1.394648438E0	-7.412448525E-3	5.872498080E-2	9.923563004E0	9.923739530E0
1.399612500E0	-5.796841159E-2	-7.325299829E-2	9.971381187E0	9.971818747E0
1.404575000E0	4.596867133E-3	-1.365748495E-1	9.749457359E0	9.750414997E0
1.409537500E0	4.912901670E-3	-2.574054301E-1	9.917358398E0	9.920699537E0
1.414501563E0	6.789956242E-3	-4.258805886E-2	9.903969765E0	9.904063658E0
1.419464063E0	-3.288675472E-2	-5.626374111E-2	9.814502716E0	9.814719085E0
1.424428125E0	-1.270842273E-2	-1.051341891E-1	9.939126015E0	9.939690168E0
1.429390625E0	-2.623087354E-2	-1.394478977E-1	9.776607513E0	9.777637150E0
1.434354688E0	-5.133168306E-3	-1.340848655E-1	9.841069221E0	9.841983973E0
1.439317188E0	-4.700296745E-2	-8.088570833E-2	9.854803085E0	9.855247111E0
1.444279688E0	-7.612603903E-2	-1.136479676E-1	9.761294365E0	9.762252748E0
1.449243750E0	-8.916007355E-3	-1.073560044E-1	9.935792923E0	9.936376896E0
1.454206250E0	2.602976002E-2	-1.356075853E-1	9.857799530E0	9.858766583E0
1.459170313E0	1.034295070E-3	-6.696103513E-2	9.962915421E0	9.963140495E0
1.464132813E0	-2.204580791E-2	-5.648400635E-2	9.879251480E0	9.879437548E0
1.469096875E0	-6.253655069E-3	-8.797255158E-2	9.899535179E0	9.899928032E0
